真实值：0.05000000074505806 预测值：0.276844118634955 err=0.22684411788989695
真实值：0.20000000298023224 预测值：0.10763249177595324 err=0.31921162909417594
真实值：-0.05999999865889549 预测值：-0.03622677164584607 err=0.34298485610722534
真实值：-0.11999999731779099 预测值：0.00869934572901648 err=0.4716841991540328
真实值：0.1599999964237213 预测值：0.09748249051609428 err=0.5342017050616599
真实值：0.029999999329447746 预测值：0.005412828974182372 err=0.5587888754169252
真实值：-0.09000000357627869 预测值：0.006593470410228498 err=0.6553823494034324
真实值：-0.03999999910593033 预测值：0.0366333397383312 err=0.7320156882476939
真实值：-0.07000000029802322 预测值：0.005294693201982878 err=0.8073103817477
真实值：0.029999999329447746 预测值：0.05483373072161964 err=0.8321441131398719
真实值：-0.05000000074505806 预测值：0.007334959159287981 err=0.8894790730442179
真实值：0.07999999821186066 预测值：0.07709640955925912 err=0.8923826616968195
