真实值：-2.71 预测值：-2.624766101951904 err=0.085233898048096
真实值：-2.98 预测值：-2.8075126057662443 err=0.2577212922818517
真实值：-3.03 预测值：-2.9799990643005234 err=0.3077222279813281
真实值：-3.1 预测值：-3.0222790188374367 err=0.3854432091438915
真实值：-4.43 预测值：-4.429997842021706 err=0.38544536712218536
真实值：-4.43 预测值：-4.42999750745232 err=0.3854478596698647
真实值：-4.43 预测值：-4.42999750745232 err=0.3854503522175441
真实值：-4.43 预测值：-4.42999750745232 err=0.38545284476522346
真实值：-4.43 预测值：-4.42999750745232 err=0.3854553373129028
真实值：-4.43 预测值：-4.42999750745232 err=0.3854578298605822
真实值：-4.43 预测值：-4.42999750745232 err=0.38546032240826156
真实值：-4.43 预测值：-4.42999750745232 err=0.3854628149559409
